As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2021-07-11,2,2,1,Manifest,TV Show,,"Jun 10, 2021",31,297
2021-07-12,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",30,195
2021-07-12,2,2,1,Manifest,TV Show,,"Jun 10, 2021",32,306
2021-07-13,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",31,205
2021-07-13,2,2,1,Manifest,TV Show,,"Jun 10, 2021",33,315
2021-07-14,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",32,215
2021-07-14,2,2,1,Manifest,TV Show,,"Jun 10, 2021",34,324
2021-07-15,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",33,225
2021-07-15,2,2,1,Manifest,TV Show,,"Jun 10, 2021",35,333
2021-07-16,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",34,235
2021-07-16,2,-,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",15,99
2021-07-17,1,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",16,109
2021-07-17,2,1,1,Virgin River,TV Show,Yes,"Dec 6, 2019",35,244
2021-07-18,1,2,1,Virgin River,TV Show,Yes,"Dec 6, 2019",36,254
2021-07-18,2,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",17,118
2021-07-19,1,1,1,Virgin River,TV Show,Yes,"Dec 6, 2019",37,264
2021-07-19,2,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",18,127
2021-07-20,1,1,1,Virgin River,TV Show,Yes,"Dec 6, 2019",38,274
2021-07-20,2,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",19,136
2021-07-21,1,1,1,Virgin River,TV Show,Yes,"Dec 6, 2019",39,284
2021-07-21,2,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",20,145
2021-07-22,1,1,1,Virgin River,TV Show,Yes,"Dec 6, 2019",40,294
2021-07-22,2,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",21,154
2021-07-23,1,1,1,Virgin River,TV Show,Yes,"Dec 6, 2019",41,304
2021-07-23,2,2,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",22,163
2021-07-24,1,1,2,Virgin River,TV Show,Yes,"Dec 6, 2019",42,314
2021-07-24,2,2,1,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",23,172
2021-07-25,1,5,-,Blood Red Sky,Movie,Yes,"Jul 23, 2021",2,16
2021-07-25,2,1,1,Virgin River,TV Show,Yes,"Dec 6, 2019",43,323
2021-07-26,1,1,-,Blood Red Sky,Movie,Yes,"Jul 23, 2021",3,26
2021-07-26,2,2,1,Virgin River,TV Show,Yes,"Dec 6, 2019",44,332
2021-07-27,1,1,-,Blood Red Sky,Movie,Yes,"Jul 23, 2021",4,36
2021-07-27,2,2,1,Virgin River,TV Show,Yes,"Dec 6, 2019",45,341
2021-07-28,1,-,-,All American,TV Show,,"Mar 28, 2019",29,173
2021-07-28,2,1,-,Blood Red Sky,Movie,Yes,"Jul 23, 2021",5,45
2021-07-29,1,1,-,All American,TV Show,,"Mar 28, 2019",30,183
2021-07-29,2,-,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",10,49
2021-07-30,1,1,-,All American,TV Show,,"Mar 28, 2019",31,193
2021-07-30,2,2,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",11,58
2021-07-31,1,9,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",43,303
2021-07-31,2,1,-,All American,TV Show,,"Mar 28, 2019",32,202
2021-08-01,1,1,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",44,313
2021-08-01,2,2,-,All American,TV Show,,"Mar 28, 2019",33,211
2021-08-02,1,1,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",45,323
2021-08-02,2,2,-,All American,TV Show,,"Mar 28, 2019",34,220
2021-08-03,1,1,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",46,333
2021-08-03,2,2,-,All American,TV Show,,"Mar 28, 2019",35,229
2021-08-04,1,1,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",47,343
2021-08-04,2,2,1,All American,TV Show,,"Mar 28, 2019",36,238
2021-08-05,1,1,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",48,353
2021-08-05,2,2,1,All American,TV Show,,"Mar 28, 2019",37,247
2021-08-06,1,1,9,Outer Banks,TV Show,Yes,"Apr 15, 2020",49,363
2021-08-06,2,2,1,All American,TV Show,,"Mar 28, 2019",38,256
2021-08-07,1,1,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",50,373
2021-08-07,2,-,-,Vivo,Movie,Yes,"Aug 6, 2021",1,9
2021-08-08,1,1,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",51,383
2021-08-08,2,2,-,Vivo,Movie,Yes,"Aug 6, 2021",2,18
2021-08-09,1,2,-,Vivo,Movie,Yes,"Aug 6, 2021",3,28
2021-08-09,2,1,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",52,392
2021-08-10,1,2,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",53,402
2021-08-10,2,1,-,Vivo,Movie,Yes,"Aug 6, 2021",4,37
2021-08-11,1,1,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",54,412
2021-08-11,2,2,-,Vivo,Movie,Yes,"Aug 6, 2021",5,46
2021-08-12,1,1,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",55,422
2021-08-12,2,2,-,Vivo,Movie,Yes,"Aug 6, 2021",6,55
2021-08-13,1,-,-,The Kissing Booth 3,Movie,Yes,"Aug 11, 2021",1,10
2021-08-13,2,1,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",56,431
2021-08-14,1,1,-,The Kissing Booth 3,Movie,Yes,"Aug 11, 2021",2,20
2021-08-14,2,3,2,Vivo,Movie,Yes,"Aug 6, 2021",8,72
2021-08-15,1,1,-,The Kissing Booth 3,Movie,Yes,"Aug 11, 2021",3,30
2021-08-15,2,5,-,Beckett,Movie,Yes,"Aug 13, 2021",2,15
2021-08-16,1,2,-,Beckett,Movie,Yes,"Aug 13, 2021",3,25
2021-08-16,2,1,-,The Kissing Booth 3,Movie,Yes,"Aug 11, 2021",4,39
2021-08-17,1,1,-,Beckett,Movie,Yes,"Aug 13, 2021",4,35
2021-08-17,2,4,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",60,462
2021-08-18,1,2,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",61,472
2021-08-18,2,1,-,Beckett,Movie,Yes,"Aug 13, 2021",5,44
2021-08-19,1,1,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",62,482
2021-08-19,2,3,3,All American,TV Show,,"Mar 28, 2019",51,353
2021-08-20,1,1,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",63,492
2021-08-20,2,2,4,All American,TV Show,,"Mar 28, 2019",52,362
2021-08-21,1,-,-,Sweet Girl,Movie,Yes,"Aug 20, 2021",1,10
2021-08-21,2,-,-,The Loud House Movie,Movie,Yes,"Aug 20, 2021",1,9
2021-08-22,1,1,-,Sweet Girl,Movie,Yes,"Aug 20, 2021",2,20
2021-08-22,2,2,-,The Loud House Movie,Movie,Yes,"Aug 20, 2021",2,18
2021-08-23,1,1,-,Sweet Girl,Movie,Yes,"Aug 20, 2021",3,30
2021-08-23,2,2,-,The Loud House Movie,Movie,Yes,"Aug 20, 2021",3,27
2021-08-24,1,1,-,Sweet Girl,Movie,Yes,"Aug 20, 2021",4,40
2021-08-24,2,2,-,The Loud House Movie,Movie,Yes,"Aug 20, 2021",4,36
2021-08-25,1,1,-,Sweet Girl,Movie,Yes,"Aug 20, 2021",5,50
2021-08-25,2,3,-,Manifest,TV Show,,"Jun 10, 2021",58,472
2021-08-26,1,1,-,Sweet Girl,Movie,Yes,"Aug 20, 2021",6,60
2021-08-26,2,2,-,Manifest,TV Show,,"Jun 10, 2021",59,481
2021-08-27,1,3,-,Clickbait,TV Show,Yes,"Aug 25, 2021",2,18
2021-08-27,2,1,-,Sweet Girl,Movie,Yes,"Aug 20, 2021",7,69
2021-08-28,1,-,-,Heâs All That,Movie,Yes,"Aug 27, 2021",1,10
2021-08-28,2,1,-,Clickbait,TV Show,Yes,"Aug 25, 2021",3,27
2021-08-29,1,1,-,Heâs All That,Movie,Yes,"Aug 27, 2021",2,20
2021-08-29,2,2,-,Clickbait,TV Show,Yes,"Aug 25, 2021",4,36
2021-08-30,1,1,-,Heâs All That,Movie,Yes,"Aug 27, 2021",3,30
2021-08-30,2,2,-,Clickbait,TV Show,Yes,"Aug 25, 2021",5,45
2021-08-31,1,2,-,Clickbait,TV Show,Yes,"Aug 25, 2021",6,55
2021-08-31,2,1,-,Heâs All That,Movie,Yes,"Aug 27, 2021",4,39
2021-09-01,1,1,-,Clickbait,TV Show,Yes,"Aug 25, 2021",7,65
2021-09-01,2,2,-,Heâs All That,Movie,Yes,"Aug 27, 2021",5,48
2021-09-02,1,1,3,Clickbait,TV Show,Yes,"Aug 25, 2021",8,75
2021-09-02,2,2,-,Heâs All That,Movie,Yes,"Aug 27, 2021",6,57
2021-09-03,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",9,85
2021-09-03,2,-,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",1,9
2021-09-04,1,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",10,95
2021-09-04,2,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",17,89
2021-09-05,1,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",11,105
2021-09-05,2,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",18,98
2021-09-06,1,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",12,115
2021-09-06,2,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",19,107
2021-09-07,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",13,125
2021-09-07,2,3,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",6,43
2021-09-08,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",14,135
2021-09-08,2,2,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",7,52
2021-09-09,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",15,145
2021-09-09,2,2,8,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",8,61
2021-09-10,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",16,155
2021-09-10,2,2,3,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",9,70
2021-09-11,1,-,-,Kate,Movie,Yes,"Sep 10, 2021",1,10
2021-09-11,2,-,-,Lucifer,TV Show,,"Dec 15, 2018",44,314
2021-09-12,1,1,-,Kate,Movie,Yes,"Sep 10, 2021",2,20
2021-09-12,2,2,-,Lucifer,TV Show,,"Dec 15, 2018",45,323
2021-09-13,1,1,-,Kate,Movie,Yes,"Sep 10, 2021",3,30
2021-09-13,2,2,-,Lucifer,TV Show,,"Dec 15, 2018",46,332
2021-09-14,1,1,-,Kate,Movie,Yes,"Sep 10, 2021",4,40
2021-09-14,2,2,-,Lucifer,TV Show,,"Dec 15, 2018",47,341
2021-09-15,1,2,-,Lucifer,TV Show,,"Dec 15, 2018",48,351
2021-09-15,2,1,-,Kate,Movie,Yes,"Sep 10, 2021",5,49
2021-09-16,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",49,361
2021-09-16,2,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",22,203
2021-09-17,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",50,371
2021-09-17,2,2,1,Clickbait,TV Show,Yes,"Aug 25, 2021",23,212
2021-09-18,1,-,-,Sex Education,TV Show,Yes,"Jan 11, 2019",1,10
2021-09-18,2,3,-,Safe House,Movie,,"Sep 16, 2021",2,17
2021-09-19,1,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",2,20
2021-09-19,2,2,-,Safe House,Movie,,"Sep 16, 2021",3,26
2021-09-20,1,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",3,30
2021-09-20,2,8,-,Squid Game,TV Show,Yes,"Sep 17, 2021",2,12
2021-09-21,1,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",4,40
2021-09-21,2,2,-,Squid Game,TV Show,Yes,"Sep 17, 2021",3,21
2021-09-22,1,2,-,Squid Game,TV Show,Yes,"Sep 17, 2021",4,31
2021-09-22,2,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",5,49
2021-09-23,1,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",5,41
2021-09-23,2,2,-,Sex Education,TV Show,Yes,"Jan 11, 2019",6,58
2021-09-24,1,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",6,51
2021-09-24,2,2,-,Sex Education,TV Show,Yes,"Jan 11, 2019",7,67
2021-09-25,1,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",7,61
2021-09-25,2,3,-,Intrusion,Movie,Yes,"Sep 22, 2021",2,17
2021-09-26,1,1,8,Squid Game,TV Show,Yes,"Sep 17, 2021",8,71
2021-09-26,2,7,-,The Starling,Movie,Yes,"Sep 24, 2021",2,13
2021-09-27,1,1,2,Squid Game,TV Show,Yes,"Sep 17, 2021",9,81
2021-09-27,2,2,-,The Starling,Movie,Yes,"Sep 24, 2021",3,22
2021-09-28,1,1,2,Squid Game,TV Show,Yes,"Sep 17, 2021",10,91
2021-09-28,2,3,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",4,30
2021-09-29,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",11,101
2021-09-29,2,2,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",5,39
2021-09-30,1,3,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",2,18
2021-09-30,2,-,-,No One Gets Out Alive,Movie,Yes,"Sep 29, 2021",1,9
2021-10-01,1,-,1,Squid Game,TV Show,Yes,"Sep 17, 2021",12,111
2021-10-01,2,-,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",6,48
2021-10-02,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",13,121
2021-10-02,2,-,-,The Guilty,Movie,Yes,"Oct 1, 2021",1,9
2021-10-03,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",14,131
2021-10-03,2,2,-,The Guilty,Movie,Yes,"Oct 1, 2021",2,18
2021-10-04,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",15,141
2021-10-04,2,2,-,The Guilty,Movie,Yes,"Oct 1, 2021",3,27
2021-10-05,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",16,151
2021-10-05,2,-,-,On My Block,TV Show,Yes,"Mar 16, 2018",2,10
2021-10-06,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",17,161
2021-10-06,2,2,-,On My Block,TV Show,Yes,"Mar 16, 2018",3,19
2021-10-07,1,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",18,171
2021-10-07,2,2,-,On My Block,TV Show,Yes,"Mar 16, 2018",4,28
2021-10-08,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",19,181
2021-10-08,2,3,-,Maid,TV Show,Yes,"Oct 1, 2021",7,57
2021-10-09,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",20,191
2021-10-09,2,2,3,Maid,TV Show,Yes,"Oct 1, 2021",8,66
2021-10-10,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",21,201
2021-10-10,2,2,3,Maid,TV Show,Yes,"Oct 1, 2021",9,75
2021-10-11,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",22,211
2021-10-11,2,2,3,Maid,TV Show,Yes,"Oct 1, 2021",10,84
2021-10-12,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",23,221
2021-10-12,2,2,3,Maid,TV Show,Yes,"Oct 1, 2021",11,93
2021-10-13,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",24,231
2021-10-13,2,2,3,Maid,TV Show,Yes,"Oct 1, 2021",12,102
2021-10-14,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",25,241
2021-10-14,2,2,3,Maid,TV Show,Yes,"Oct 1, 2021",13,111
2021-10-15,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",26,251
2021-10-15,2,2,2,Maid,TV Show,Yes,"Oct 1, 2021",14,120
2021-10-16,1,-,-,You,TV Show,,"Dec 26, 2018",1,10
2021-10-16,2,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",27,260
2021-10-17,1,1,-,You,TV Show,,"Dec 26, 2018",2,20
2021-10-17,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",28,269
2021-10-18,1,1,-,You,TV Show,,"Dec 26, 2018",3,30
2021-10-18,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",29,278
2021-10-19,1,1,-,You,TV Show,,"Dec 26, 2018",4,40
2021-10-19,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",30,287
2021-10-20,1,1,-,You,TV Show,,"Dec 26, 2018",5,50
2021-10-20,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",31,296
2021-10-21,1,1,-,You,TV Show,,"Dec 26, 2018",6,60
2021-10-21,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",32,305
2021-10-22,1,1,-,You,TV Show,,"Dec 26, 2018",7,70
2021-10-22,2,2,1,Squid Game,TV Show,Yes,"Sep 17, 2021",33,314
2021-10-23,1,1,1,You,TV Show,,"Dec 26, 2018",8,80
2021-10-23,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",34,323
2021-10-24,1,1,1,You,TV Show,,"Dec 26, 2018",9,90
2021-10-24,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",35,332
2021-10-25,1,1,1,You,TV Show,,"Dec 26, 2018",10,100
2021-10-25,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",36,341
2021-10-26,1,1,1,You,TV Show,,"Dec 26, 2018",11,110
2021-10-26,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",37,350
2021-10-27,1,1,1,You,TV Show,,"Dec 26, 2018",12,120
2021-10-27,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",38,359
2021-10-28,1,1,1,You,TV Show,,"Dec 26, 2018",13,130
2021-10-28,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",39,368
2021-10-29,1,1,1,You,TV Show,,"Dec 26, 2018",14,140
2021-10-29,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",40,377
2021-10-30,1,1,1,You,TV Show,,"Dec 26, 2018",15,150
2021-10-30,2,2,2,Squid Game,TV Show,Yes,"Sep 17, 2021",41,386
2021-10-31,1,1,1,You,TV Show,,"Dec 26, 2018",16,160
2021-10-31,2,6,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",2,14
2021-11-01,1,2,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",3,24
2021-11-01,2,1,1,You,TV Show,,"Dec 26, 2018",17,169
2021-11-02,1,1,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",4,34
2021-11-02,2,2,1,You,TV Show,,"Dec 26, 2018",18,178
2021-11-03,1,2,1,You,TV Show,,"Dec 26, 2018",19,188
2021-11-03,2,1,-,Army of Thieves,Movie,Yes,"Oct 29, 2021",5,43
2021-11-04,1,-,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",1,10
2021-11-04,2,1,1,You,TV Show,,"Dec 26, 2018",20,197
2021-11-05,1,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",2,20
2021-11-05,2,2,1,You,TV Show,,"Dec 26, 2018",21,206
2021-11-06,1,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",3,30
2021-11-06,2,-,-,Love Hard,Movie,Yes,"Nov 5, 2021",1,9
2021-11-07,1,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",4,40
2021-11-07,2,2,-,Love Hard,Movie,Yes,"Nov 5, 2021",2,18
2021-11-08,1,2,-,Love Hard,Movie,Yes,"Nov 5, 2021",3,28
2021-11-08,2,1,-,The Harder They Fall,Movie,Yes,"Nov 3, 2021",5,49
2021-11-09,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",4,38
2021-11-09,2,3,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",17,127
2021-11-10,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",5,48
2021-11-10,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",18,136
2021-11-11,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",6,58
2021-11-11,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",19,145
2021-11-12,1,1,-,Love Hard,Movie,Yes,"Nov 5, 2021",7,68
2021-11-12,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",20,154
2021-11-13,1,-,-,Red Notice,Movie,Yes,"Nov 12, 2021",1,10
2021-11-13,2,1,2,Love Hard,Movie,Yes,"Nov 5, 2021",8,77
2021-11-14,1,1,-,Red Notice,Movie,Yes,"Nov 12, 2021",2,20
2021-11-14,2,2,2,Love Hard,Movie,Yes,"Nov 5, 2021",9,86
2021-11-15,1,1,-,Red Notice,Movie,Yes,"Nov 12, 2021",3,30
2021-11-15,2,2,1,Love Hard,Movie,Yes,"Nov 5, 2021",10,95
2021-11-16,1,1,-,Red Notice,Movie,Yes,"Nov 12, 2021",4,40
2021-11-16,2,4,4,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",11,76
2021-11-17,1,1,-,Red Notice,Movie,Yes,"Nov 12, 2021",5,50
2021-11-17,2,2,3,Narcos: Mexico,TV Show,Yes,"Nov 16, 2018",12,85
2021-11-18,1,1,-,Red Notice,Movie,Yes,"Nov 12, 2021",6,60
2021-11-18,2,-,-,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",36,310
2021-11-19,1,2,-,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",37,320
2021-11-19,2,1,-,Red Notice,Movie,Yes,"Nov 12, 2021",7,69
2021-11-20,1,2,1,Red Notice,Movie,Yes,"Nov 12, 2021",8,79
2021-11-20,2,1,-,Tiger King,TV Show,Yes,"Mar 20, 2020",38,329
2021-11-21,1,1,1,Red Notice,Movie,Yes,"Nov 12, 2021",9,89
2021-11-21,2,2,-,Tiger King,TV Show,Yes,"Mar 20, 2020",39,338
2021-11-22,1,1,1,Red Notice,Movie,Yes,"Nov 12, 2021",10,99
2021-11-22,2,3,-,Cowboy Bebop,TV Show,Yes,"Nov 19, 2021",3,25
2021-11-23,1,2,-,Cowboy Bebop,TV Show,Yes,"Nov 19, 2021",4,35
2021-11-23,2,1,1,Red Notice,Movie,Yes,"Nov 12, 2021",11,108
2021-11-24,1,1,-,Cowboy Bebop,TV Show,Yes,"Nov 19, 2021",5,45
2021-11-24,2,2,1,Red Notice,Movie,Yes,"Nov 12, 2021",12,117
2021-11-25,1,-,-,True Story,TV Show,Yes,"Nov 24, 2021",1,10
2021-11-25,2,-,-,Bruised,Movie,Yes,"Nov 24, 2021",1,9
2021-11-26,1,1,-,True Story,TV Show,Yes,"Nov 24, 2021",2,20
2021-11-26,2,2,-,Bruised,Movie,Yes,"Nov 24, 2021",2,18
2021-11-27,1,1,-,True Story,TV Show,Yes,"Nov 24, 2021",3,30
2021-11-27,2,2,-,Bruised,Movie,Yes,"Nov 24, 2021",3,27
2021-11-28,1,1,-,True Story,TV Show,Yes,"Nov 24, 2021",4,40
2021-11-28,2,2,-,Bruised,Movie,Yes,"Nov 24, 2021",4,36
2021-11-29,1,1,-,True Story,TV Show,Yes,"Nov 24, 2021",5,50
2021-11-29,2,2,-,Bruised,Movie,Yes,"Nov 24, 2021",5,45
2021-11-30,1,1,-,True Story,TV Show,Yes,"Nov 24, 2021",6,60
2021-11-30,2,3,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",13,71
2021-12-01,1,1,-,True Story,TV Show,Yes,"Nov 24, 2021",7,70
2021-12-01,2,3,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",14,87
2021-12-02,1,-,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",1,10
2021-12-02,2,1,1,True Story,TV Show,Yes,"Nov 24, 2021",8,79
2021-12-03,1,1,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",2,20
2021-12-03,2,2,1,True Story,TV Show,Yes,"Nov 24, 2021",9,88
2021-12-04,1,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",26,155
2021-12-04,2,1,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",3,29
2021-12-05,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",27,165
2021-12-05,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",4,38
2021-12-06,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",28,175
2021-12-06,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",5,47
2021-12-07,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",29,185
2021-12-07,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",6,56
2021-12-08,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",30,195
2021-12-08,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",7,65
2021-12-09,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",31,205
2021-12-09,2,2,1,Lost in Space,TV Show,Yes,"Apr 13, 2018",8,74
2021-12-10,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",32,215
2021-12-10,2,2,1,Lost in Space,TV Show,Yes,"Apr 13, 2018",9,83
2021-12-11,1,-,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",1,10
2021-12-11,2,2,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",10,92
2021-12-12,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",2,20
2021-12-12,2,-,-,The Shack,Movie,,"Dec 10, 2021",1,9
2021-12-13,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",3,30
2021-12-13,2,2,-,The Shack,Movie,,"Dec 10, 2021",2,18
2021-12-14,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",4,40
2021-12-14,2,2,-,The Shack,Movie,,"Dec 10, 2021",3,27
2021-12-15,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",5,50
2021-12-15,2,2,-,The Shack,Movie,,"Dec 10, 2021",4,36
2021-12-16,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",6,60
2021-12-16,2,2,-,The Shack,Movie,,"Dec 10, 2021",5,45
2021-12-17,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",7,70
2021-12-17,2,-,-,A California Christmas: Cit…,Movie,Yes,"Dec 16, 2021",1,9
2021-12-18,1,5,-,The Witcher,TV Show,Yes,"Dec 20, 2019",6,34
2021-12-18,2,1,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",8,79
2021-12-19,1,1,-,The Witcher,TV Show,Yes,"Dec 20, 2019",7,44
2021-12-19,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",9,88
2021-12-20,1,1,10,The Witcher,TV Show,Yes,"Dec 20, 2019",8,54
2021-12-20,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",10,97
2021-12-21,1,1,6,The Witcher,TV Show,Yes,"Dec 20, 2019",9,64
2021-12-21,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",11,106
2021-12-22,1,1,5,The Witcher,TV Show,Yes,"Dec 20, 2019",10,74
